iter	Passed	Remaining
0	147	146922
1	156	78196
2	165	55012
3	172	43011
4	179	35673
5	186	30827
6	192	27337
7	198	24655
8	205	22595
9	211	20936
10	217	19585
11	224	18457
12	230	17490
13	236	16652
14	242	15895
15	247	15233
16	253	14656
17	259	14152
18	265	13687
19	271	13287
20	277	12918
21	283	12588
22	288	12273
23	294	11978
24	300	11714
25	306	11478
26	312	11254
27	318	11056
28	325	10905
29	331	10729
30	338	10569
31	344	10414
32	350	10274
33	356	10137
34	362	10001
35	369	9881
36	375	9761
37	381	9647
38	387	9541
39	393	9440
40	399	9340
41	405	9254
42	412	9175
43	418	9098
44	425	9028
45	431	8950
46	438	8885
47	444	8815
48	451	8756
49	458	8707
50	466	8688
51	473	8635
52	479	8573
53	485	8513
54	491	8453
55	497	8390
56	503	8332
57	509	8276
58	515	8225
59	521	8174
60	527	8126
61	533	8077
62	539	8027
63	545	7983
64	551	7937
65	557	7891
66	563	7851
67	569	7808
68	575	7770
69	581	7729
70	587	7691
71	594	7656
72	600	7621
73	607	7603
74	615	7590
75	622	7566
76	629	7542
77	636	7519
78	642	7495
79	649	7471
80	656	7447
81	663	7424
82	670	7409
83	677	7392
84	685	7375
85	693	7372
86	702	7376
87	710	7361
88	717	7345
89	724	7325
90	732	7318
91	739	7298
92	747	7287
93	755	7280
94	765	7287
95	771	7269
96	778	7249
97	785	7231
98	792	7216
99	800	7204
100	809	7206
101	816	7186
102	823	7170
103	830	7151
104	837	7142
105	845	7127
106	853	7124
107	861	7113
108	868	7098
109	875	7085
110	884	7082
111	892	7072
112	899	7064
113	908	7063
114	917	7057
115	926	7063
116	934	7051
117	942	7046
118	952	7050
119	959	7036
120	967	7025
121	974	7009
122	980	6994
123	987	6979
124	994	6964
125	1001	6948
126	1008	6934
127	1015	6921
128	1022	6907
129	1030	6893
130	1038	6891
131	1045	6875
132	1053	6865
133	1060	6853
134	1067	6840
135	1074	6828
136	1081	6813
137	1088	6800
138	1095	6785
139	1102	6770
140	1109	6758
141	1116	6746
142	1123	6730
143	1130	6718
144	1137	6706
145	1144	6695
146	1153	6691
147	1160	6682
148	1167	6669
149	1175	6663
150	1182	6648
151	1189	6634
152	1195	6619
153	1202	6605
154	1209	6591
155	1215	6577
156	1222	6565
157	1229	6552
158	1236	6539
159	1242	6522
160	1248	6508
161	1255	6495
162	1262	6482
163	1268	6467
164	1275	6456
165	1282	6444
166	1289	6431
167	1296	6418
168	1302	6406
169	1309	6394
